order_id,symbol,direction,created_at,entry,sl,tp1,tp2,rr,confidence,stop_pct,volume,24h_change,strategy_id,telegram_pushed,alert_id,source_opportunity_ids,repeat_count
1,1000000BOBUSDT,LONG,2026-06-21T18:33:56+00:00,0.01279587,0.01172,0.01387175,0.01494762,2.00,MEDIUM,8.408,N/A,N/A,hotlist_v1,N,,161,1
2,ALICEUSDT,LONG,2026-06-20T11:50:15+00:00,0.1229064,0.1115,0.1343128,0.1457192,2.00,MEDIUM,9.281,N/A,N/A,hotlist_v1,N,,116,1
3,ALICEUSDT,LONG,2026-06-20T16:24:54+00:00,0.13335795,0.1229,0.14381589,0.15427384,2.00,WEAK,7.842,N/A,N/A,hotlist_v1,N,,123,1
4,ALICEUSDT,LONG,2026-06-21T08:32:27+00:00,0.15126964,0.14594821,0.15659107,0.1619125,2.00,MEDIUM,3.518,N/A,N/A,hotlist_v1,N,,151,1
5,ALICEUSDT,LONG,2026-06-21T08:02:27+00:00,0.15175893,0.14639464,0.15712321,0.1624875,2.00,WEAK,3.535,N/A,N/A,hotlist_v1,N,,142,1
6,ALICEUSDT,LONG,2026-06-21T08:18:03+00:00,0.15239821,0.14719107,0.15760536,0.1628125,2.00,WEAK,3.417,N/A,N/A,hotlist_v1,N,,149,1
7,ALICEUSDT,LONG,2026-06-21T07:19:29+00:00,0.15319286,0.14716429,0.15922143,0.16525,2.00,WEAK,3.935,N/A,N/A,hotlist_v1,Y,52,133,1
8,ALICEUSDT,LONG,2026-06-21T07:45:36+00:00,0.1545875,0.1493375,0.1598375,0.1650875,2.00,MEDIUM,3.396,N/A,N/A,hotlist_v1,N,,136,1
9,ALICEUSDT,SHORT,2026-06-22T03:49:39+00:00,0.13771986,0.1439,0.13153973,0.12535959,2.00,WEAK,4.487,N/A,N/A,hotlist_v1,N,,253,1
10,BELUSDT,LONG,2026-06-19T15:21:50+00:00,0.11377421,0.105,0.12254841,0.13132262,2.00,MEDIUM,7.712,N/A,N/A,hotlist_v1,N,,66,1
11,BELUSDT,LONG,2026-06-20T06:50:16+00:00,0.12351688,0.11206,0.13497375,0.14643063,2.00,MEDIUM,9.276,N/A,N/A,hotlist_v1,N,,76,1
12,BELUSDT,LONG,2026-06-20T07:05:21+00:00,0.12568487,0.11206,0.13930973,0.1529346,2.00,MEDIUM,10.841,N/A,N/A,hotlist_v1,N,,81,1
13,BELUSDT,LONG,2026-06-20T08:05:56+00:00,0.134987,0.11363,0.15634399,0.17770099,2.00,MEDIUM,15.822,N/A,N/A,hotlist_v1,N,,86,1
14,BELUSDT,LONG,2026-06-20T08:28:10+00:00,0.13679178,0.11465,0.15893355,0.18107533,2.00,MEDIUM,16.186,N/A,N/A,hotlist_v1,N,,91,1
15,BELUSDT,LONG,2026-06-20T11:08:15+00:00,0.1551475,0.1252,0.18509501,0.21504251,2.00,MEDIUM,19.303,N/A,N/A,hotlist_v1,N,,106,1
16,BELUSDT,LONG,2026-06-20T11:23:18+00:00,0.15709415,0.1252,0.18898829,0.22088244,2.00,MEDIUM,20.303,N/A,N/A,hotlist_v1,N,,111,1
17,BELUSDT,LONG,2026-06-20T11:50:15+00:00,0.16034381,0.133,0.18768762,0.21503144,2.00,WEAK,17.053,N/A,N/A,hotlist_v1,N,,118,1
18,BELUSDT,LONG,2026-06-20T16:24:54+00:00,0.16146482,0.15368411,0.16924554,0.17702625,2.00,WEAK,4.819,N/A,N/A,hotlist_v1,Y,49,124,1
19,BELUSDT,LONG,2026-06-20T16:40:02+00:00,0.16258304,0.15479518,0.17037089,0.17815875,2.00,WEAK,4.79,N/A,N/A,hotlist_v1,N,,128,1
20,BELUSDT,LONG,2026-06-22T12:54:49+00:00,0.17073169,0.16176,0.17970339,0.18867508,2.00,MEDIUM,5.255,N/A,N/A,hotlist_v1,Y,70,296,1
21,BELUSDT,LONG,2026-06-22T15:16:22+00:00,0.1936653,0.16244,0.2248906,0.2561159,2.00,MEDIUM,16.123,N/A,N/A,hotlist_v1,N,,"343,348,301",3
22,BELUSDT,LONG,2026-06-22T15:34:52+00:00,0.19641085,0.16244,0.23038169,0.26435254,2.00,MEDIUM,17.296,N/A,N/A,hotlist_v1,N,,"326,331,306,311",4
23,BELUSDT,LONG,2026-06-22T16:03:11+00:00,0.20142535,0.16244,0.24041071,0.27939606,2.00,MEDIUM,19.355,N/A,N/A,hotlist_v1,N,,316,1
24,BELUSDT,LONG,2026-06-22T17:31:32+00:00,0.20189661,0.16735,0.23644321,0.27098982,2.00,WEAK,17.111,N/A,N/A,hotlist_v1,N,,322,1
25,BICOUSDT,LONG,2026-06-20T06:35:11+00:00,0.03574222,0.03115,0.04033444,0.04492666,2.00,WEAK,12.848,N/A,N/A,hotlist_v1,N,,74,1
26,BICOUSDT,LONG,2026-06-20T06:50:16+00:00,0.03611008,0.03115,0.04107017,0.04603025,2.00,MEDIUM,13.736,N/A,N/A,hotlist_v1,N,,77,1
27,BICOUSDT,LONG,2026-06-20T07:05:21+00:00,0.03656812,0.03115,0.04198623,0.04740435,2.00,MEDIUM,14.817,N/A,N/A,hotlist_v1,N,,82,1
28,BICOUSDT,LONG,2026-06-20T08:05:56+00:00,0.03803413,0.03115,0.04491825,0.05180238,2.00,WEAK,18.1,N/A,N/A,hotlist_v1,N,,88,1
29,BICOUSDT,LONG,2026-06-20T08:28:10+00:00,0.03816316,0.03147,0.04485631,0.05154947,2.00,MEDIUM,17.538,N/A,N/A,hotlist_v1,N,,92,1
30,BICOUSDT,LONG,2026-06-20T08:43:28+00:00,0.03833317,0.03167,0.04499634,0.0516595,2.00,WEAK,17.382,N/A,N/A,hotlist_v1,N,,97,1
31,BICOUSDT,LONG,2026-06-20T08:58:22+00:00,0.03867377,0.03167,0.04567754,0.05268131,2.00,MEDIUM,18.11,N/A,N/A,hotlist_v1,N,,101,1
32,BICOUSDT,LONG,2026-06-20T11:08:15+00:00,0.04041312,0.03673,0.04409624,0.04777936,2.00,MEDIUM,9.114,N/A,N/A,hotlist_v1,N,,107,1
33,BICOUSDT,LONG,2026-06-20T11:23:18+00:00,0.04071345,0.03706,0.04436691,0.04802036,2.00,MEDIUM,8.974,N/A,N/A,hotlist_v1,N,,112,1
34,BICOUSDT,LONG,2026-06-20T11:50:15+00:00,0.0410997,0.0375,0.04469941,0.04829911,2.00,WEAK,8.758,N/A,N/A,hotlist_v1,N,,119,1
35,BICOUSDT,LONG,2026-06-20T16:24:54+00:00,0.04174313,0.03911,0.04437626,0.04700939,2.00,MEDIUM,6.308,N/A,N/A,hotlist_v1,N,,121,1
36,BICOUSDT,LONG,2026-06-20T16:40:02+00:00,0.04190263,0.03911,0.04469526,0.04748789,2.00,WEAK,6.665,N/A,N/A,hotlist_v1,N,,129,1
37,BICOUSDT,SHORT,2026-06-23T04:46:27+00:00,0.03107167,0.03388,0.02826333,0.025455,2.00,MEDIUM,9.038,N/A,N/A,hotlist_v1,N,,386,1
38,BICOUSDT,SHORT,2026-06-23T04:32:46+00:00,0.03168357,0.03388,0.02948714,0.02729071,2.00,WEAK,6.932,N/A,N/A,hotlist_v1,N,,384,1
39,BICOUSDT,SHORT,2026-06-22T19:48:30+00:00,0.03303364,0.03899,0.02707728,0.02112091,2.00,WEAK,18.031,N/A,N/A,hotlist_v1,N,,"372,377",2
40,BICOUSDT,SHORT,2026-06-22T19:33:00+00:00,0.03319897,0.03936,0.02703794,0.0208769,2.00,WEAK,18.558,N/A,N/A,hotlist_v1,N,,"362,367",2
41,BICOUSDT,SHORT,2026-06-22T19:19:00+00:00,0.03340732,0.03971,0.02710463,0.02080195,2.00,WEAK,18.866,N/A,N/A,hotlist_v1,N,,358,1
42,BICOUSDT,SHORT,2026-06-22T19:12:16+00:00,0.03371477,0.03971,0.02771954,0.02172431,2.00,MEDIUM,17.782,N/A,N/A,hotlist_v1,N,,351,1
43,BICOUSDT,SHORT,2026-06-22T18:35:38+00:00,0.03455522,0.03984,0.02927044,0.02398565,2.00,MEDIUM,15.294,N/A,N/A,hotlist_v1,N,,"341,346",2
44,BICOUSDT,SHORT,2026-06-22T18:20:15+00:00,0.03505158,0.04079,0.02931315,0.02357473,2.00,MEDIUM,16.371,N/A,N/A,hotlist_v1,N,,336,1
45,BICOUSDT,SHORT,2026-06-22T17:46:59+00:00,0.03610983,0.04092,0.03129966,0.02648949,2.00,MEDIUM,13.321,N/A,N/A,hotlist_v1,N,,"327,332",2
46,BICOUSDT,SHORT,2026-06-22T17:31:32+00:00,0.0365829,0.04092,0.03224581,0.02790871,2.00,MEDIUM,11.856,N/A,N/A,hotlist_v1,N,,321,1
47,BICOUSDT,SHORT,2026-06-22T16:03:11+00:00,0.03864548,0.04118,0.03611097,0.03357645,2.00,MEDIUM,6.558,N/A,N/A,hotlist_v1,N,,317,1
48,BICOUSDT,SHORT,2026-06-22T15:34:52+00:00,0.03909638,0.04256,0.03563276,0.03216914,2.00,WEAK,8.859,N/A,N/A,hotlist_v1,N,,"308,313",2
49,BICOUSDT,SHORT,2026-06-22T15:16:22+00:00,0.03930042,0.04256,0.03604084,0.03278125,2.00,MEDIUM,8.294,N/A,N/A,hotlist_v1,N,,302,1
50,BICOUSDT,SHORT,2026-06-22T03:49:39+00:00,0.04405875,0.04582,0.0422975,0.04053625,2.00,WEAK,3.998,N/A,N/A,hotlist_v1,N,,254,1
51,BICOUSDT,SHORT,2026-06-22T03:29:35+00:00,0.04424472,0.04582,0.04266944,0.04109416,2.00,MEDIUM,3.56,N/A,N/A,hotlist_v1,Y,62,"243,248,236",3
52,BLESSUSDT,LONG,2026-06-20T06:35:11+00:00,0.0082291,0.007844,0.00861419,0.00899929,2.00,MEDIUM,4.68,N/A,N/A,hotlist_v1,Y,40,71,1
53,BLESSUSDT,LONG,2026-06-20T06:50:16+00:00,0.0082538,0.007844,0.0086636,0.00907341,2.00,MEDIUM,4.965,N/A,N/A,hotlist_v1,Y,40,78,1
54,BLESSUSDT,LONG,2026-06-22T18:35:38+00:00,0.00975699,0.008902,0.01061197,0.01146696,2.00,MEDIUM,8.763,N/A,N/A,hotlist_v1,N,,"342,347",2
55,BLESSUSDT,LONG,2026-06-22T19:12:16+00:00,0.00991699,0.008969,0.01086498,0.01181296,2.00,MEDIUM,9.559,N/A,N/A,hotlist_v1,N,,352,1
56,BLESSUSDT,LONG,2026-06-22T19:19:00+00:00,0.0099897,0.008969,0.01101041,0.01203111,2.00,MEDIUM,10.218,N/A,N/A,hotlist_v1,N,,356,1
57,BLESSUSDT,LONG,2026-06-22T19:33:00+00:00,0.01006485,0.008969,0.0111607,0.01225655,2.00,MEDIUM,10.888,N/A,N/A,hotlist_v1,N,,"361,366",2
58,BLESSUSDT,LONG,2026-06-22T19:48:30+00:00,0.01013504,0.008969,0.01130107,0.01246711,2.00,MEDIUM,11.505,N/A,N/A,hotlist_v1,N,,"371,376",2
59,BSBUSDT,SHORT,2026-06-19T08:28:28+00:00,0.41112899,0.42985,0.39240797,0.37368696,2.00,WEAK,4.554,N/A,N/A,hotlist_v1,Y,31,"64,49",2
60,BSBUSDT,SHORT,2026-06-19T08:09:29+00:00,0.41272608,0.42985,0.39560216,0.37847825,2.00,WEAK,4.149,N/A,N/A,hotlist_v1,Y,28,43,1
61,BSBUSDT,SHORT,2026-06-19T06:05:59+00:00,0.4143152,0.45178,0.37685039,0.33938559,2.00,WEAK,9.043,N/A,N/A,hotlist_v1,Y,28,"38,22",2
62,BSBUSDT,SHORT,2026-06-19T07:14:48+00:00,0.42097339,0.45178,0.39016679,0.35936018,2.00,WEAK,7.318,N/A,N/A,hotlist_v1,N,,32,1
63,BTRUSDT,LONG,2026-06-21T10:48:45+00:00,0.02346214,0.02271071,0.02421357,0.024965,2.00,WEAK,3.203,N/A,N/A,hotlist_v1,Y,56,158,1
64,BTRUSDT,LONG,2026-06-21T08:18:03+00:00,0.02407304,0.02239,0.02575607,0.02743911,2.00,WEAK,6.991,N/A,N/A,hotlist_v1,N,,150,1
65,BTRUSDT,LONG,2026-06-21T07:19:29+00:00,0.02477714,0.0223,0.02725429,0.02973143,2.00,WEAK,9.998,N/A,N/A,hotlist_v1,N,,"134,139",2
66,BTRUSDT,LONG,2026-06-21T08:02:27+00:00,0.02499271,0.02239,0.02759541,0.03019812,2.00,WEAK,10.414,N/A,N/A,hotlist_v1,N,,143,1
67,BTWUSDT,LONG,2026-06-19T05:51:05+00:00,0.05618859,0.05056,0.06181719,0.06744578,2.00,MEDIUM,10.017,N/A,N/A,hotlist_v1,N,,16,1
68,BTWUSDT,LONG,2026-06-19T06:21:25+00:00,0.05705502,0.0509,0.06321004,0.06936506,2.00,MEDIUM,10.788,N/A,N/A,hotlist_v1,N,,26,1
69,BTWUSDT,LONG,2026-06-19T08:28:28+00:00,0.05910058,0.0535,0.06470116,0.07030174,2.00,MEDIUM,9.476,N/A,N/A,hotlist_v1,N,,46,1
70,BTWUSDT,LONG,2026-06-19T10:22:26+00:00,0.06248324,0.0551,0.06986649,0.07724973,2.00,WEAK,11.816,N/A,N/A,hotlist_v1,N,,52,1
71,BTWUSDT,LONG,2026-06-19T10:36:55+00:00,0.06290376,0.0551,0.07070752,0.07851127,2.00,WEAK,12.406,N/A,N/A,hotlist_v1,N,,58,1
72,BTWUSDT,LONG,2026-06-19T15:07:17+00:00,0.06964976,0.0647,0.07459953,0.07954929,2.00,MEDIUM,7.107,N/A,N/A,hotlist_v1,N,,61,1
73,BTWUSDT,LONG,2026-06-19T15:21:50+00:00,0.06986338,0.06472,0.07500676,0.08015014,2.00,WEAK,7.362,N/A,N/A,hotlist_v1,N,,67,1
74,BTWUSDT,LONG,2026-06-20T06:35:11+00:00,0.10550946,0.08524,0.12577891,0.14604837,2.00,MEDIUM,19.211,N/A,N/A,hotlist_v1,N,,72,1
75,BTWUSDT,LONG,2026-06-20T06:50:16+00:00,0.10670016,0.08944,0.12396032,0.14122047,2.00,WEAK,16.176,N/A,N/A,hotlist_v1,N,,80,1
76,BTWUSDT,LONG,2026-06-20T07:05:21+00:00,0.10788881,0.09025,0.12552761,0.14316642,2.00,MEDIUM,16.349,N/A,N/A,hotlist_v1,N,,83,1
77,BTWUSDT,LONG,2026-06-20T08:05:56+00:00,0.11158792,0.095,0.12817584,0.14476376,2.00,WEAK,14.865,N/A,N/A,hotlist_v1,N,,89,1
