id,symbol,direction,entry,sl,tp1,tp2,rr,confidence,created_at
11,FOLKSUSDT,LONG,2.76276743,2.622,2.90353486,3.04430228,2.00,MEDIUM,2026-06-18T13:36:04+00:00
12,GUAUSDT,LONG,1.27776145,1.175,1.3805229,1.48328435,2.00,MEDIUM,2026-06-18T13:36:04+00:00
13,ZEREBROUSDT,LONG,0.03372212,0.03222,0.03522424,0.03672636,2.00,MEDIUM,2026-06-18T13:36:04+00:00
14,HUSDT,LONG,0.24569926,0.20701,0.28438852,0.32307777,2.00,WEAK,2026-06-18T13:36:04+00:00
15,SYNUSDT,LONG,0.10691088,0.09006,0.12376176,0.14061263,2.00,WEAK,2026-06-18T13:36:04+00:00
16,BTWUSDT,LONG,0.05618859,0.05056,0.06181719,0.06744578,2.00,MEDIUM,2026-06-19T05:51:05+00:00
17,ESPORTSUSDT,SHORT,0.04460102,0.05334,0.03586203,0.02712305,2.00,WEAK,2026-06-19T05:51:05+00:00
18,SYNUSDT,LONG,0.12504554,0.10896,0.14113107,0.15721661,2.00,WEAK,2026-06-19T05:51:05+00:00
19,VELVETUSDT,LONG,0.4609375,0.4398875,0.4819875,0.5030375,2.00,WEAK,2026-06-19T05:51:05+00:00
20,ZEREBROUSDT,LONG,0.04122245,0.03974023,0.04270466,0.04418688,2.00,WEAK,2026-06-19T05:51:05+00:00
21,SYNUSDT,LONG,0.12014107,0.10896,0.13132214,0.14250321,2.00,MEDIUM,2026-06-19T06:05:59+00:00
22,BSBUSDT,SHORT,0.4143152,0.45178,0.37685039,0.33938559,2.00,WEAK,2026-06-19T06:05:59+00:00
23,ESPORTSUSDT,SHORT,0.0442731,0.05334,0.03520619,0.02613929,2.00,WEAK,2026-06-19T06:05:59+00:00
24,VELVETUSDT,LONG,0.46736429,0.4428,0.49192857,0.51649286,2.00,WEAK,2026-06-19T06:05:59+00:00
25,ZEREBROUSDT,LONG,0.04143679,0.03999993,0.04287364,0.0443105,2.00,WEAK,2026-06-19T06:05:59+00:00
26,BTWUSDT,LONG,0.05705502,0.0509,0.06321004,0.06936506,2.00,MEDIUM,2026-06-19T06:21:25+00:00
27,HEIUSDT,LONG,0.09969987,0.08965,0.10974974,0.11979961,2.00,MEDIUM,2026-06-19T06:21:25+00:00
28,ESPORTSUSDT,SHORT,0.04400891,0.05334,0.03467783,0.02534674,2.00,WEAK,2026-06-19T06:21:25+00:00
29,VELVETUSDT,LONG,0.46511071,0.4428,0.48742143,0.50973214,2.00,WEAK,2026-06-19T06:21:25+00:00
31,HEIUSDT,LONG,0.10513767,0.09117,0.11910535,0.13307302,2.00,MEDIUM,2026-06-19T07:14:48+00:00
32,BSBUSDT,SHORT,0.42097339,0.45178,0.39016679,0.35936018,2.00,WEAK,2026-06-19T07:14:48+00:00
33,ESPORTSUSDT,SHORT,0.04336083,0.0487,0.03802167,0.0326825,2.00,WEAK,2026-06-19T07:14:48+00:00
34,SYNUSDT,LONG,0.11744179,0.10896,0.12592357,0.13440536,2.00,WEAK,2026-06-19T07:14:48+00:00
35,VELVETUSDT,LONG,0.47286964,0.4428,0.50293929,0.53300893,2.00,WEAK,2026-06-19T07:14:48+00:00
36,ESPORTSUSDT,SHORT,0.04257288,0.0487,0.03644576,0.03031865,2.00,MEDIUM,2026-06-19T07:54:09+00:00
37,HEIUSDT,LONG,0.11172167,0.09339,0.13005334,0.148385,2.00,MEDIUM,2026-06-19T07:54:09+00:00
39,SYNUSDT,LONG,0.12238,0.10896,0.1358,0.14922,2.00,WEAK,2026-06-19T07:54:09+00:00
40,VELVETUSDT,LONG,0.48031958,0.4428,0.51783916,0.55535874,2.00,WEAK,2026-06-19T07:54:09+00:00
41,ESPORTSUSDT,SHORT,0.04228311,0.0487,0.03586623,0.02944934,2.00,MEDIUM,2026-06-19T08:09:29+00:00
42,HEIUSDT,LONG,0.11427817,0.09339,0.13516634,0.1560545,2.00,MEDIUM,2026-06-19T08:09:29+00:00
43,BSBUSDT,SHORT,0.41272608,0.42985,0.39560216,0.37847825,2.00,WEAK,2026-06-19T08:09:29+00:00
44,SYNUSDT,LONG,0.12040482,0.1099,0.13090964,0.14141446,2.00,WEAK,2026-06-19T08:09:29+00:00
45,VELVETUSDT,LONG,0.48155248,0.4428,0.52030496,0.55905743,2.00,WEAK,2026-06-19T08:09:29+00:00
46,BTWUSDT,LONG,0.05910058,0.0535,0.06470116,0.07030174,2.00,MEDIUM,2026-06-19T08:28:28+00:00
47,ESPORTSUSDT,SHORT,0.04210868,0.04693,0.03728735,0.03246603,2.00,MEDIUM,2026-06-19T08:28:28+00:00
48,HEIUSDT,LONG,0.11630665,0.09339,0.13922329,0.16213994,2.00,MEDIUM,2026-06-19T08:28:28+00:00
49,BSBUSDT,SHORT,0.41112899,0.42985,0.39240797,0.37368696,2.00,WEAK,2026-06-19T08:28:28+00:00
50,VELVETUSDT,LONG,0.48361281,0.4428,0.52442563,0.56523844,2.00,WEAK,2026-06-19T08:28:28+00:00
51,REUSDT,LONG,0.49221072,0.4129,0.57152144,0.65083216,2.00,MEDIUM,2026-06-19T10:22:26+00:00
52,BTWUSDT,LONG,0.06248324,0.0551,0.06986649,0.07724973,2.00,WEAK,2026-06-19T10:22:26+00:00
53,ESPORTSUSDT,SHORT,0.03885968,0.0443,0.03341936,0.02797905,2.00,WEAK,2026-06-19T10:22:26+00:00
54,GUAUSDT,SHORT,0.89466175,1.0832,0.7061235,0.51758525,2.00,WEAK,2026-06-19T10:22:26+00:00
55,HEIUSDT,LONG,0.12991763,0.10128,0.15855526,0.18719288,2.00,WEAK,2026-06-19T10:22:26+00:00
56,HEIUSDT,LONG,0.13037275,0.10128,0.15946549,0.18855824,2.00,MEDIUM,2026-06-19T10:36:55+00:00
57,REUSDT,LONG,0.50297953,0.4129,0.59305906,0.68313859,2.00,MEDIUM,2026-06-19T10:36:55+00:00
58,BTWUSDT,LONG,0.06290376,0.0551,0.07070752,0.07851127,2.00,WEAK,2026-06-19T10:36:55+00:00
59,ESPORTSUSDT,SHORT,0.03844149,0.04347,0.03341297,0.02838446,2.00,WEAK,2026-06-19T10:36:55+00:00
60,GUAUSDT,SHORT,0.88864783,1.0832,0.69409566,0.4995435,2.00,WEAK,2026-06-19T10:36:55+00:00
