id,symbol,direction,entry,sl,tp1,created_at,status,fill_time,exit_time,wait_min,hold_min,pnl
26,BTWUSDT,LONG,0.05705502,0.0509,0.06321004,2026-06-19T06:21:25+00:00,TP1,2026-06-19T06:45:00+00:00,2026-06-19T08:00:00+00:00,23.583333333333332,75.0,10.787867570636203
24,VELVETUSDT,LONG,0.46736429,0.4428,0.49192857,2026-06-19T06:05:59+00:00,TP1,2026-06-19T06:15:00+00:00,2026-06-19T07:15:00+00:00,9.016666666666667,60.0,5.255917177583251
22,BSBUSDT,SHORT,0.4143152,0.45178,0.37685039,2026-06-19T06:05:59+00:00,TP1,2026-06-19T06:15:00+00:00,2026-06-19T16:15:00+00:00,9.016666666666667,600.0,9.042586417297748
29,VELVETUSDT,LONG,0.46511071,0.4428,0.48742143,2026-06-19T06:21:25+00:00,SL,2026-06-19T10:00:00+00:00,2026-06-19T12:15:00+00:00,218.58333333333334,135.0,-4.79686008520423
20,ZEREBROUSDT,LONG,0.04122245,0.03974023,0.04270466,2026-06-19T05:51:05+00:00,SL,2026-06-19T06:30:00+00:00,2026-06-19T07:45:00+00:00,38.916666666666664,75.0,-3.5956620724872006
23,ESPORTSUSDT,SHORT,0.0442731,0.05334,0.03520619,2026-06-19T06:05:59+00:00,EXPIRED,,,,,
13,ZEREBROUSDT,LONG,0.03372212,0.03222,0.03522424,2026-06-18T13:36:04+00:00,TP1,2026-06-18T16:30:00+00:00,2026-06-18T17:00:00+00:00,173.93333333333334,30.0,4.454405594903286
18,SYNUSDT,LONG,0.12504554,0.10896,0.14113107,2026-06-19T05:51:05+00:00,TP1,2026-06-19T06:00:00+00:00,2026-06-19T10:30:00+00:00,8.916666666666666,270.0,12.863737483160135
28,ESPORTSUSDT,SHORT,0.04400891,0.05334,0.03467783,2026-06-19T06:21:25+00:00,EXPIRED,,,,,
12,GUAUSDT,LONG,1.27776145,1.175,1.3805229,2026-06-18T13:36:04+00:00,SL,2026-06-18T16:45:00+00:00,2026-06-19T00:30:00+00:00,188.93333333333334,465.0,-8.042303201430908
15,SYNUSDT,LONG,0.10691088,0.09006,0.12376176,2026-06-18T13:36:04+00:00,TP1,2026-06-18T14:15:00+00:00,2026-06-18T14:45:00+00:00,38.93333333333333,30.0,15.761613785238696
21,SYNUSDT,LONG,0.12014107,0.10896,0.13132214,2026-06-19T06:05:59+00:00,TP1,2026-06-19T06:15:00+00:00,2026-06-19T09:45:00+00:00,9.016666666666667,210.0,9.306617628759257
27,HEIUSDT,LONG,0.09969987,0.08965,0.10974974,2026-06-19T06:21:25+00:00,EXPIRED,,,,,
16,BTWUSDT,LONG,0.05618859,0.05056,0.06181719,2026-06-19T05:51:05+00:00,TP1,2026-06-19T06:45:00+00:00,2026-06-19T08:00:00+00:00,53.916666666666664,75.0,10.017336259906148
14,HUSDT,LONG,0.24569926,0.20701,0.28438852,2026-06-18T13:36:04+00:00,SL,2026-06-18T14:45:00+00:00,2026-06-19T07:00:00+00:00,68.93333333333334,975.0,-15.746591992177754
17,ESPORTSUSDT,SHORT,0.04460102,0.05334,0.03586203,2026-06-19T05:51:05+00:00,EXPIRED,,,,,
25,ZEREBROUSDT,LONG,0.04143679,0.03999993,0.04287364,2026-06-19T06:05:59+00:00,SL,2026-06-19T06:15:00+00:00,2026-06-19T07:45:00+00:00,9.016666666666667,90.0,-3.467594859543898
11,FOLKSUSDT,LONG,2.76276743,2.622,2.90353486,2026-06-18T13:36:04+00:00,SL,2026-06-18T15:30:00+00:00,2026-06-18T15:30:00+00:00,113.93333333333334,0.0,-5.095160326253014
19,VELVETUSDT,LONG,0.4609375,0.4398875,0.4819875,2026-06-19T05:51:05+00:00,TP1,2026-06-19T10:00:00+00:00,2026-06-19T10:00:00+00:00,248.91666666666666,0.0,4.566779661016949
31,HEIUSDT,LONG,0.10513767,0.09117,0.11910535,2026-06-19T07:14:48+00:00,TP1,2026-06-20T00:15:00+00:00,2026-06-20T14:00:00+00:00,1020.2,825.0,13.28513367283106
33,ESPORTSUSDT,SHORT,0.04336083,0.0487,0.03802167,2026-06-19T07:14:48+00:00,EXPIRED,,,,,
35,VELVETUSDT,LONG,0.47286964,0.4428,0.50293929,2026-06-19T07:14:48+00:00,TP1,2026-06-19T08:45:00+00:00,2026-06-19T09:00:00+00:00,90.2,15.0,6.358972422082331
32,BSBUSDT,SHORT,0.42097339,0.45178,0.39016679,2026-06-19T07:14:48+00:00,TP1,2026-06-19T10:30:00+00:00,2026-06-19T15:30:00+00:00,195.2,300.0,7.317944728050388
45,VELVETUSDT,LONG,0.48155248,0.4428,0.52030496,2026-06-19T08:09:29+00:00,SL,2026-06-19T08:45:00+00:00,2026-06-19T12:15:00+00:00,35.516666666666666,210.0,-8.047405341988894
44,SYNUSDT,LONG,0.12040482,0.1099,0.13090964,2026-06-19T08:09:29+00:00,TP1,2026-06-19T09:00:00+00:00,2026-06-19T09:45:00+00:00,50.516666666666666,45.0,8.724584281592714
34,SYNUSDT,LONG,0.11744179,0.10896,0.12592357,2026-06-19T07:14:48+00:00,EXPIRED,,,,,
36,ESPORTSUSDT,SHORT,0.04257288,0.0487,0.03644576,2026-06-19T07:54:09+00:00,EXPIRED,,,,,
37,HEIUSDT,LONG,0.11172167,0.09339,0.13005334,2026-06-19T07:54:09+00:00,TP1,2026-06-19T14:00:00+00:00,2026-06-19T14:00:00+00:00,365.85,0.0,16.408338686666607
43,BSBUSDT,SHORT,0.41272608,0.42985,0.39560216,2026-06-19T08:09:29+00:00,SL,2026-06-19T10:00:00+00:00,2026-06-19T12:45:00+00:00,110.51666666666667,165.0,-4.148979390883174
46,BTWUSDT,LONG,0.05910058,0.0535,0.06470116,2026-06-19T08:28:28+00:00,EXPIRED,,,,,
41,ESPORTSUSDT,SHORT,0.04228311,0.0487,0.03586623,2026-06-19T08:09:29+00:00,EXPIRED,,,,,
42,HEIUSDT,LONG,0.11427817,0.09339,0.13516634,2026-06-19T08:09:29+00:00,TIMEOUT,2026-06-19T14:00:00+00:00,2026-06-20T14:00:00+00:00,350.51666666666665,1440.0,0.0
40,VELVETUSDT,LONG,0.48031958,0.4428,0.51783916,2026-06-19T07:54:09+00:00,SL,2026-06-19T08:45:00+00:00,2026-06-19T12:15:00+00:00,50.85,210.0,-7.811378416012106
39,SYNUSDT,LONG,0.12238,0.10896,0.1358,2026-06-19T07:54:09+00:00,TP1,2026-06-19T08:00:00+00:00,2026-06-19T09:45:00+00:00,5.85,105.0,10.965844092171924
47,ESPORTSUSDT,SHORT,0.04210868,0.04693,0.03728735,2026-06-19T08:28:28+00:00,EXPIRED,,,,,
52,BTWUSDT,LONG,0.06248324,0.0551,0.06986649,2026-06-19T10:22:26+00:00,EXPIRED,,,,,
49,BSBUSDT,SHORT,0.41112899,0.42985,0.39240797,2026-06-19T08:28:28+00:00,SL,2026-06-19T09:45:00+00:00,2026-06-19T12:45:00+00:00,76.53333333333333,180.0,-4.553561158506483
48,HEIUSDT,LONG,0.11630665,0.09339,0.13922329,2026-06-19T08:28:28+00:00,TIMEOUT,2026-06-19T14:00:00+00:00,2026-06-20T14:00:00+00:00,331.53333333333336,1440.0,0.0
50,VELVETUSDT,LONG,0.48361281,0.4428,0.52442563,2026-06-19T08:28:28+00:00,SL,2026-06-19T08:30:00+00:00,2026-06-19T12:15:00+00:00,1.5333333333333334,225.0,-8.439149905892691
53,ESPORTSUSDT,SHORT,0.03885968,0.0443,0.03341936,2026-06-19T10:22:26+00:00,EXPIRED,,,,,
51,REUSDT,LONG,0.49221072,0.4129,0.57152144,2026-06-19T10:22:26+00:00,EXPIRED,,,,,
57,REUSDT,LONG,0.50297953,0.4129,0.59305906,2026-06-19T10:36:55+00:00,EXPIRED,,,,,
54,GUAUSDT,SHORT,0.89466175,1.0832,0.7061235,2026-06-19T10:22:26+00:00,SL,2026-06-19T12:45:00+00:00,2026-06-20T07:00:00+00:00,142.56666666666666,1095.0,-21.07369069930619
55,HEIUSDT,LONG,0.12991763,0.10128,0.15855526,2026-06-19T10:22:26+00:00,SL,2026-06-19T11:15:00+00:00,2026-06-20T06:45:00+00:00,52.56666666666667,1170.0,-22.04291288257029
56,HEIUSDT,LONG,0.13037275,0.10128,0.15946549,2026-06-19T10:36:55+00:00,SL,2026-06-19T11:15:00+00:00,2026-06-20T06:45:00+00:00,38.083333333333336,1170.0,-22.315054334590627
58,BTWUSDT,LONG,0.06290376,0.0551,0.07070752,2026-06-19T10:36:55+00:00,EXPIRED,,,,,
59,ESPORTSUSDT,SHORT,0.03844149,0.04347,0.03341297,2026-06-19T10:36:55+00:00,EXPIRED,,,,,
62,ESPORTSUSDT,SHORT,0.03368827,0.03559,0.03178654,2026-06-19T15:07:17+00:00,TP1,2026-06-19T20:00:00+00:00,2026-06-19T21:15:00+00:00,292.71666666666664,75.0,5.645080617081257
63,GUAUSDT,SHORT,0.88563214,0.91416071,0.85710357,2026-06-19T15:07:17+00:00,TP1,2026-06-19T15:15:00+00:00,2026-06-19T15:15:00+00:00,7.716666666666667,0.0,3.2212663375111927
60,GUAUSDT,SHORT,0.88864783,1.0832,0.69409566,2026-06-19T10:36:55+00:00,SL,2026-06-19T12:45:00+00:00,2026-06-20T07:00:00+00:00,128.08333333333334,1095.0,-21.89305633031254
66,BELUSDT,LONG,0.11377421,0.105,0.12254841,2026-06-19T15:21:50+00:00,TP1,2026-06-19T23:00:00+00:00,2026-06-20T04:00:00+00:00,458.1666666666667,300.0,7.7119410453388335
68,ESPORTSUSDT,SHORT,0.03358103,0.03559,0.03157207,2026-06-19T15:21:50+00:00,TP1,2026-06-19T20:00:00+00:00,2026-06-19T21:15:00+00:00,278.1666666666667,75.0,5.9824251966065365
65,ZEREBROUSDT,LONG,0.04590422,0.040604,0.05120444,2026-06-19T15:07:17+00:00,SL,2026-06-19T16:00:00+00:00,2026-06-19T17:15:00+00:00,52.71666666666667,75.0,-11.546258709983526
67,BTWUSDT,LONG,0.06986338,0.06472,0.07500676,2026-06-19T15:21:50+00:00,EXPIRED,,,,,
73,UBUSDT,SHORT,0.08502018,0.08698089,0.08305946,2026-06-20T06:35:11+00:00,SL,2026-06-21T05:15:00+00:00,2026-06-21T05:15:00+00:00,1359.8166666666666,0.0,-2.3061701351373287
70,ZEREBROUSDT,LONG,0.04599688,0.041958,0.05003577,2026-06-19T15:21:50+00:00,SL,2026-06-19T16:00:00+00:00,2026-06-19T17:00:00+00:00,38.166666666666664,60.0,-8.780769478277657
75,REUSDT,LONG,0.84237321,0.7817,0.90304643,2026-06-20T06:35:11+00:00,EXPIRED,,,,,
61,BTWUSDT,LONG,0.06964976,0.0647,0.07459953,2026-06-19T15:07:17+00:00,EXPIRED,,,,,
69,REUSDT,LONG,0.70492852,0.5666,0.84325705,2026-06-19T15:21:50+00:00,TP1,2026-06-19T16:15:00+00:00,2026-06-19T21:15:00+00:00,53.166666666666664,300.0,19.62305766831508
76,BELUSDT,LONG,0.12351688,0.11206,0.13497375,2026-06-20T06:50:16+00:00,EXPIRED,,,,,
71,BLESSUSDT,LONG,0.0082291,0.007844,0.00861419,2026-06-20T06:35:11+00:00,SL,2026-06-20T06:45:00+00:00,2026-06-20T07:00:00+00:00,9.816666666666666,15.0,-4.679734114301685
77,BICOUSDT,LONG,0.03611008,0.03115,0.04107017,2026-06-20T06:50:16+00:00,EXPIRED,,,,,
74,BICOUSDT,LONG,0.03574222,0.03115,0.04033444,2026-06-20T06:35:11+00:00,EXPIRED,,,,,
72,BTWUSDT,LONG,0.10550946,0.08524,0.12577891,2026-06-20T06:35:11+00:00,TP1,2026-06-21T04:00:00+00:00,2026-06-21T12:00:00+00:00,1284.8166666666666,480.0,19.21102619613445
78,BLESSUSDT,LONG,0.0082538,0.007844,0.0086636,2026-06-20T06:50:16+00:00,SL,2026-06-20T07:00:00+00:00,2026-06-20T07:00:00+00:00,9.733333333333333,0.0,-4.964985824711042
82,BICOUSDT,LONG,0.03656812,0.03115,0.04198623,2026-06-20T07:05:21+00:00,EXPIRED,,,,,
79,REUSDT,LONG,0.8611583,0.7817,0.9406166,2026-06-20T06:50:16+00:00,TP1,2026-06-20T09:00:00+00:00,2026-06-20T10:30:00+00:00,129.73333333333332,90.0,9.22690984921123
92,BICOUSDT,LONG,0.03816316,0.03147,0.04485631,2026-06-20T08:28:10+00:00,TP1,2026-06-20T10:15:00+00:00,2026-06-20T10:45:00+00:00,106.83333333333333,30.0,17.538248929071912
83,BTWUSDT,LONG,0.10788881,0.09025,0.12552761,2026-06-20T07:05:21+00:00,SL,2026-06-21T04:00:00+00:00,2026-06-21T07:30:00+00:00,1254.65,210.0,-16.349063447821884
87,GUAUSDT,LONG,1.01265546,0.8684,1.15691092,2026-06-20T08:05:56+00:00,SL,2026-06-20T10:00:00+00:00,2026-06-20T11:15:00+00:00,114.06666666666666,75.0,-14.24526561087223
90,REUSDT,LONG,0.87739365,0.7817,0.97308729,2026-06-20T08:05:56+00:00,TP1,2026-06-20T08:15:00+00:00,2026-06-20T10:30:00+00:00,9.066666666666666,135.0,10.906579959861801
